Date 	Value
7/10/2017 18:37:01	7.303
7/10/2017 22:37:01	7.303
7/11/2017 02:37:01	7.303
7/11/2017 06:37:01	7.303
7/11/2017 10:37:01	7.24
7/11/2017 14:37:01	7.177
7/11/2017 18:37:01	7.115
7/11/2017 22:37:01	7.115
7/12/2017 02:37:01	7.177
7/12/2017 06:37:01	7.24
7/12/2017 10:37:01	7.24
7/12/2017 14:37:01	7.24
7/12/2017 18:37:01	7.177
7/12/2017 22:37:01	7.177
7/13/2017 02:37:01	7.177
7/13/2017 06:37:01	7.177
7/13/2017 10:37:01	7.177
7/13/2017 14:37:01	7.115
7/13/2017 18:37:01	7.115
7/13/2017 22:37:01	7.177
7/14/2017 02:37:01	7.303
7/14/2017 06:37:01	7.429
7/14/2017 10:37:01	7.429
7/14/2017 14:37:01	7.429
7/14/2017 18:37:01	7.491
7/14/2017 22:37:01	7.554
7/15/2017 02:37:01	7.68
7/15/2017 06:37:01	7.805
7/15/2017 10:37:01	7.805
7/15/2017 14:37:01	7.805
7/15/2017 18:37:01	7.743
7/15/2017 22:37:01	7.68
7/16/2017 02:37:01	7.743
7/16/2017 06:37:01	7.805
7/16/2017 10:37:01	7.805
7/16/2017 14:37:01	7.743
7/16/2017 18:37:01	7.68
7/16/2017 22:37:01	7.617
7/17/2017 02:37:01	7.617
7/17/2017 06:37:01	7.554
7/17/2017 10:37:01	7.554
7/17/2017 14:37:01	7.429
7/17/2017 18:37:01	7.366
7/17/2017 22:37:01	7.303
7/18/2017 02:37:01	7.303
7/18/2017 06:37:01	7.366
7/18/2017 10:37:01	7.303
7/18/2017 14:37:01	7.24
7/18/2017 18:37:01	7.24
7/18/2017 22:37:01	7.24
7/19/2017 02:37:01	7.303
7/19/2017 06:37:01	7.303
7/19/2017 10:37:01	7.303
7/19/2017 14:37:01	7.303
7/19/2017 18:37:01	7.24
7/19/2017 22:37:01	7.303
7/20/2017 02:37:01	7.366
7/20/2017 06:37:01	7.429
7/20/2017 10:37:01	7.491
7/20/2017 14:37:01	7.429
7/20/2017 18:37:01	7.366
7/20/2017 22:37:01	7.303
7/21/2017 02:37:01	7.177
7/21/2017 06:37:01	7.052
7/21/2017 10:37:01	6.863
7/21/2017 14:37:01	6.675
7/21/2017 18:37:01	6.549
7/21/2017 22:37:01	6.424
7/22/2017 02:37:01	6.424
7/22/2017 06:37:01	6.424
7/22/2017 10:37:01	6.361
7/22/2017 14:37:01	6.298
7/22/2017 18:37:01	6.235
7/22/2017 22:37:01	6.172
7/23/2017 02:37:01	6.109
7/23/2017 06:37:01	6.047
7/23/2017 10:37:01	5.984
7/23/2017 14:37:01	5.921
7/23/2017 18:37:01	5.858
7/23/2017 22:37:01	5.858
7/24/2017 02:37:01	5.858
7/24/2017 06:37:01	5.921
7/24/2017 10:37:01	5.858
7/24/2017 14:37:01	5.858
7/24/2017 18:37:01	5.795
7/24/2017 22:37:01	5.795
7/25/2017 02:37:01	5.795
7/25/2017 06:37:01	5.795
7/25/2017 10:37:01	5.732
7/25/2017 14:37:01	5.67
7/25/2017 18:37:01	5.67
7/25/2017 22:37:01	5.67
7/26/2017 02:37:01	5.67
7/26/2017 06:37:01	5.732
7/26/2017 10:37:01	5.732
7/26/2017 14:37:01	5.732
7/26/2017 18:37:01	5.67
7/26/2017 22:37:01	5.67
7/27/2017 02:37:01	5.67
7/27/2017 06:37:01	5.732
7/27/2017 10:37:01	5.67
7/27/2017 14:37:01	5.607
7/27/2017 18:37:01	5.607
7/27/2017 22:37:01	5.607
7/28/2017 02:37:01	5.67
7/28/2017 06:37:01	5.795
